problem_id,domain,category,problem_intent,problem_definition,government_route_condition,innovation_route_condition,hybrid_route_condition
PRB0011,Water Resources & Drinking Water,Water Tanker Dependency,Water Tanker Dependency Intent,Detailed civic issue under Water Resources & Drinking Water: Water Tanker Dependency.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0012,Water Resources & Drinking Water,Long Distance Water Retrieval Burden,Long Distance Water Retrieval Burden Intent,Detailed civic issue under Water Resources & Drinking Water: Long Distance Water Retrieval Burden.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0013,Water Resources & Drinking Water,School & Anganwadi Drinking Water Missing,School & Anganwadi Drinking Water Missing Intent,Detailed civic issue under Water Resources & Drinking Water: School & Anganwadi Drinking Water Missing.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0014,Water Resources & Drinking Water,Hospital & PHC Water Crisis,Hospital & PHC Water Crisis Intent,Detailed civic issue under Water Resources & Drinking Water: Hospital & PHC Water Crisis.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0015,Water Resources & Drinking Water,Fluoride & Iron Heavy Metal Contamination,Fluoride & Iron Heavy Metal Contamination Intent,Detailed civic issue under Water Resources & Drinking Water: Fluoride & Iron Heavy Metal Contamination.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0016,Water Resources & Drinking Water,"Foul Smell, Color & Bacterial Contamination","Foul Smell, Color & Bacterial Contamination Intent","Detailed civic issue under Water Resources & Drinking Water: Foul Smell, Color & Bacterial Contamination.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0017,Water Resources & Drinking Water,Water Quality Testing & Maintenance Failure,Water Quality Testing & Maintenance Failure Intent,Detailed civic issue under Water Resources & Drinking Water: Water Quality Testing & Maintenance Failure.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0018,Water Resources & Drinking Water,Water Treatment Plant Failure,Water Treatment Plant Failure Intent,Detailed civic issue under Water Resources & Drinking Water: Water Treatment Plant Failure.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0019,Water Resources & Drinking Water,Water Source Recharge Deficit,Water Source Recharge Deficit Intent,Detailed civic issue under Water Resources & Drinking Water: Water Source Recharge Deficit.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0020,Irrigation & Farm Water,Unirrigated Farmland & Monsoon Dependency,Unirrigated Farmland & Monsoon Dependency Intent,Detailed civic issue under Irrigation & Farm Water: Unirrigated Farmland & Monsoon Dependency.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0021,Irrigation & Farm Water,Missing Canal Network,Missing Canal Network Intent,Detailed civic issue under Irrigation & Farm Water: Missing Canal Network.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0022,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Canal Water Flow Interruption & Damage Intent,Detailed civic issue under Irrigation & Farm Water: Canal Water Flow Interruption & Damage.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0023,Irrigation & Farm Water,Broken Check Dam & Siltation,Broken Check Dam & Siltation Intent,Detailed civic issue under Irrigation & Farm Water: Broken Check Dam & Siltation.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0024,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Dried Farm Ponds & Tank Scarcity Intent,Detailed civic issue under Irrigation & Farm Water: Dried Farm Ponds & Tank Scarcity.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0025,Irrigation & Farm Water,Rainwater Harvesting Deficit,Rainwater Harvesting Deficit Intent,Detailed civic issue under Irrigation & Farm Water: Rainwater Harvesting Deficit.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0026,Irrigation & Farm Water,Expensive Irrigation Equipment & Pumps,Expensive Irrigation Equipment & Pumps Intent,Detailed civic issue under Irrigation & Farm Water: Expensive Irrigation Equipment & Pumps.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0027,Irrigation & Farm Water,Borewell Unaffordability for Small Farmers,Borewell Unaffordability for Small Farmers Intent,Detailed civic issue under Irrigation & Farm Water: Borewell Unaffordability for Small Farmers.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0028,Agriculture & Crop Management,Delayed & Poor Quality Seed Distribution,Delayed & Poor Quality Seed Distribution Intent,Detailed civic issue under Agriculture & Crop Management: Delayed & Poor Quality Seed Distribution.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0029,Agriculture & Crop Management,Fertilizer Shortage & Black Marketing,Fertilizer Shortage & Black Marketing Intent,Detailed civic issue under Agriculture & Crop Management: Fertilizer Shortage & Black Marketing.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0030,Agriculture & Crop Management,High Pesticide Cost & Misinformation,High Pesticide Cost & Misinformation Intent,Detailed civic issue under Agriculture & Crop Management: High Pesticide Cost & Misinformation.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0031,Agriculture & Crop Management,Lack of Soil Testing & Low Fertility,Lack of Soil Testing & Low Fertility Intent,Detailed civic issue under Agriculture & Crop Management: Lack of Soil Testing & Low Fertility.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0032,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Soil Erosion & Mining Runoff Damage Intent,Detailed civic issue under Agriculture & Crop Management: Soil Erosion & Mining Runoff Damage.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0033,Agriculture & Crop Management,Fragmented Small Landholdings,Fragmented Small Landholdings Intent,Detailed civic issue under Agriculture & Crop Management: Fragmented Small Landholdings.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0034,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Single-Crop Dependency & Drought Loss Intent,Detailed civic issue under Agriculture & Crop Management: Single-Crop Dependency & Drought Loss.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0035,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Pest Attacks & Crop Disease Outbreak Intent,Detailed civic issue under Agriculture & Crop Management: Pest Attacks & Crop Disease Outbreak.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0036,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Livestock Disease & Veterinary Doctor Shortage Intent,Detailed civic issue under Agriculture & Crop Management: Livestock Disease & Veterinary Doctor Shortage.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0037,Agriculture & Crop Management,Cattle Feed Cost & Dairy Infrastructure Deficit,Cattle Feed Cost & Dairy Infrastructure Deficit Intent,Detailed civic issue under Agriculture & Crop Management: Cattle Feed Cost & Dairy Infrastructure Deficit.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0038,Agriculture & Crop Management,Poultry & Goat Farming Support Missing,Poultry & Goat Farming Support Missing Intent,Detailed civic issue under Agriculture & Crop Management: Poultry & Goat Farming Support Missing.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0039,Agriculture & Crop Management,Lack of Cold Storage & Warehouses,Lack of Cold Storage & Warehouses Intent,Detailed civic issue under Agriculture & Crop Management: Lack of Cold Storage & Warehouses.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0040,Agriculture & Crop Management,Middlemen Exploitation & Lack of Mandi Access,Middlemen Exploitation & Lack of Mandi Access Intent,Detailed civic issue under Agriculture & Crop Management: Middlemen Exploitation & Lack of Mandi Access.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0041,Agriculture & Crop Management,High Agricultural Transportation Cost,High Agricultural Transportation Cost Intent,Detailed civic issue under Agriculture & Crop Management: High Agricultural Transportation Cost.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0042,Agriculture & Crop Management,Lack of Farm Machinery Rental Centers,Lack of Farm Machinery Rental Centers Intent,Detailed civic issue under Agriculture & Crop Management: Lack of Farm Machinery Rental Centers.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0043,Agriculture & Crop Management,Delayed Crop Insurance Claims & KCC Credit Issues,Delayed Crop Insurance Claims & KCC Credit Issues Intent,Detailed civic issue under Agriculture & Crop Management: Delayed Crop Insurance Claims & KCC Credit Issues.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0044,Agriculture & Crop Management,Lack of Local Processing & Value Addition,Lack of Local Processing & Value Addition Intent,Detailed civic issue under Agriculture & Crop Management: Lack of Local Processing & Value Addition.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0045,School Education,Teacher Shortage & Subject Teacher Absence,Teacher Shortage & Subject Teacher Absence Intent,Detailed civic issue under School Education: Teacher Shortage & Subject Teacher Absence.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0046,School Education,Dilapidated School Building & Classroom Shortage,Dilapidated School Building & Classroom Shortage Intent,Detailed civic issue under School Education: Dilapidated School Building & Classroom Shortage.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0047,School Education,Distance & Road Access Barrier to School,Distance & Road Access Barrier to School Intent,Detailed civic issue under School Education: Distance & Road Access Barrier to School.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0048,School Education,Student Dropout & Low Learning Outcomes,Student Dropout & Low Learning Outcomes Intent,Detailed civic issue under School Education: Student Dropout & Low Learning Outcomes.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0049,School Education,"Lack of Digital Education, Internet & Computers","Lack of Digital Education, Internet & Computers Intent","Detailed civic issue under School Education: Lack of Digital Education, Internet & Computers.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0050,School Education,Broken Smart Classrooms & Unpowered ICT Labs,Broken Smart Classrooms & Unpowered ICT Labs Intent,Detailed civic issue under School Education: Broken Smart Classrooms & Unpowered ICT Labs.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0051,School Education,Missing School Libraries & Sports Grounds,Missing School Libraries & Sports Grounds Intent,Detailed civic issue under School Education: Missing School Libraries & Sports Grounds.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0052,School Education,Lack of Drinking Water & Functional Toilets,Lack of Drinking Water & Functional Toilets Intent,Detailed civic issue under School Education: Lack of Drinking Water & Functional Toilets.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0053,School Education,Girls Toilet Absence & Lack of Sanitary Hygiene,Girls Toilet Absence & Lack of Sanitary Hygiene Intent,Detailed civic issue under School Education: Girls Toilet Absence & Lack of Sanitary Hygiene.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0054,School Education,Inadequate Teacher Training & Tribal Language Material,Inadequate Teacher Training & Tribal Language Material Intent,Detailed civic issue under School Education: Inadequate Teacher Training & Tribal Language Material.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0055,School Education,PwD Accessibility Barriers in Schools,PwD Accessibility Barriers in Schools Intent,Detailed civic issue under School Education: PwD Accessibility Barriers in Schools.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0056,Higher & Technical Education,Distant Degree Colleges & Faculty Shortage,Distant Degree Colleges & Faculty Shortage Intent,Detailed civic issue under Higher & Technical Education: Distant Degree Colleges & Faculty Shortage.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0057,Higher & Technical Education,Lack of Technical & Vocational Trade Courses,Lack of Technical & Vocational Trade Courses Intent,Detailed civic issue under Higher & Technical Education: Lack of Technical & Vocational Trade Courses.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0058,Higher & Technical Education,Inadequate Science Laboratories & Equipment,Inadequate Science Laboratories & Equipment Intent,Detailed civic issue under Higher & Technical Education: Inadequate Science Laboratories & Equipment.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0059,Higher & Technical Education,Hostel & Girls Hostel Shortage,Hostel & Girls Hostel Shortage Intent,Detailed civic issue under Higher & Technical Education: Hostel & Girls Hostel Shortage.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0060,Higher & Technical Education,Post-Matric Scholarship Delivery Delays,Post-Matric Scholarship Delivery Delays Intent,Detailed civic issue under Higher & Technical Education: Post-Matric Scholarship Delivery Delays.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0061,Higher & Technical Education,Weak Industry-Academia Placement Connections,Weak Industry-Academia Placement Connections Intent,Detailed civic issue under Higher & Technical Education: Weak Industry-Academia Placement Connections.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0062,Healthcare Services,Missing Village Health Sub-Centers & Far PHCs,Missing Village Health Sub-Centers & Far PHCs Intent,Detailed civic issue under Healthcare Services: Missing Village Health Sub-Centers & Far PHCs.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0063,Healthcare Services,Doctor & Specialist Medical Staff Shortage,Doctor & Specialist Medical Staff Shortage Intent,Detailed civic issue under Healthcare Services: Doctor & Specialist Medical Staff Shortage.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0064,Healthcare Services,Nurse & Paramedical Staff Deficit,Nurse & Paramedical Staff Deficit Intent,Detailed civic issue under Healthcare Services: Nurse & Paramedical Staff Deficit.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0065,Healthcare Services,Ambulance Unavailability & Slow Emergency Response,Ambulance Unavailability & Slow Emergency Response Intent,Detailed civic issue under Healthcare Services: Ambulance Unavailability & Slow Emergency Response.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0066,Healthcare Services,Essential Medicines & Diagnostics Stockout,Essential Medicines & Diagnostics Stockout Intent,Detailed civic issue under Healthcare Services: Essential Medicines & Diagnostics Stockout.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0067,Healthcare Services,Blood Bank & Emergency Surgery Deficit,Blood Bank & Emergency Surgery Deficit Intent,Detailed civic issue under Healthcare Services: Blood Bank & Emergency Surgery Deficit.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0068,Healthcare Services,Maternal & Child Healthcare Access Barriers,Maternal & Child Healthcare Access Barriers Intent,Detailed civic issue under Healthcare Services: Maternal & Child Healthcare Access Barriers.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0069,Healthcare Services,"High Anemia, Malnutrition & Infant Mortality","High Anemia, Malnutrition & Infant Mortality Intent","Detailed civic issue under Healthcare Services: High Anemia, Malnutrition & Infant Mortality.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0070,Healthcare Services,"TB, Malaria & Seasonal Vector Disease Access","TB, Malaria & Seasonal Vector Disease Access Intent","Detailed civic issue under Healthcare Services: TB, Malaria & Seasonal Vector Disease Access.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0071,Healthcare Services,Tribal Remote Healthcare Accessibility Gaps,Tribal Remote Healthcare Accessibility Gaps Intent,Detailed civic issue under Healthcare Services: Tribal Remote Healthcare Accessibility Gaps.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0072,Healthcare Services,Lack of Telemedicine & Digitized Health Records,Lack of Telemedicine & Digitized Health Records Intent,Detailed civic issue under Healthcare Services: Lack of Telemedicine & Digitized Health Records.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0073,Nutrition & Anganwadi,"Child Malnutrition, Stunting & Wasting","Child Malnutrition, Stunting & Wasting Intent","Detailed civic issue under Nutrition & Anganwadi: Child Malnutrition, Stunting & Wasting.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0074,Nutrition & Anganwadi,Maternal & Adolescent Female Anemia,Maternal & Adolescent Female Anemia Intent,Detailed civic issue under Nutrition & Anganwadi: Maternal & Adolescent Female Anemia.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0075,Nutrition & Anganwadi,Substandard Mid-Day Meal Quality & Hygiene,Substandard Mid-Day Meal Quality & Hygiene Intent,Detailed civic issue under Nutrition & Anganwadi: Substandard Mid-Day Meal Quality & Hygiene.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0076,Nutrition & Anganwadi,Anganwadi Ration Supply Interruptions,Anganwadi Ration Supply Interruptions Intent,Detailed civic issue under Nutrition & Anganwadi: Anganwadi Ration Supply Interruptions.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0077,Nutrition & Anganwadi,Remote Area Supplementary Nutrition Delivery Failure,Remote Area Supplementary Nutrition Delivery Failure Intent,Detailed civic issue under Nutrition & Anganwadi: Remote Area Supplementary Nutrition Delivery Failure.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0078,"Roads, Transport & Mobility",Missing Village Roads & Mud Road Inaccessibility,Missing Village Roads & Mud Road Inaccessibility Intent,"Detailed civic issue under Roads, Transport & Mobility: Missing Village Roads & Mud Road Inaccessibility.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
