complaint_id,complaint_text,domain,category,route,severity,recurrence,innovation_required,innovation_area
SS00015,प्रशासन से तुरंत सहायता भेजी जाए तथा भविष्य के लिए smart precision irrigation & soil moisture sensing का आधुनिक डिजिटल मॉडल भी विकसित किया जाए।,Agriculture & Livestock,Crop Irrigation & Farm Water,Hybrid,High,Recurring,Yes,Smart Precision Irrigation & Soil Moisture Sensing
SS00016,urgent govt inspection today n smart AI tech for smart precision irrigation & soil moisture sensing for future plzz,Agriculture & Livestock,Crop Irrigation & Farm Water,Hybrid,High,Recurring,Yes,Smart Precision Irrigation & Soil Moisture Sensing
SS00017,"Immediate administrative intervention needed now, accompanied by a university research solution for smart precision irrigation & soil moisture sensing.",Agriculture & Livestock,Crop Irrigation & Farm Water,Hybrid,Medium,Occasional,Yes,Smart Precision Irrigation & Soil Moisture Sensing
SS00018,"Fasal me keeda lag gaya hai, agriculture department se inspection aur pesticide spray chahiye.",Agriculture & Livestock,Crop Disease & Pest Management,Government,High,Occasional,No,None
SS00019,"Paddy leaves turning yellow brown, urgent visit by block agriculture officer requested.",Agriculture & Livestock,Crop Disease & Pest Management,Government,Medium,One-time,No,None
SS00020,"Tamatar ki fasal me pest attack ho gaya h, kripya subsidy par insecticide provide kare.",Agriculture & Livestock,Crop Disease & Pest Management,Government,Medium,Occasional,No,None
SS00021,"crop getting damaged by insects, agrculter team not visitng",Agriculture & Livestock,Crop Disease & Pest Management,Government,High,Persistent,No,None
SS00022,"धान की फसल में कीट प्रकोप हो गया है, कृषि अधिकारी तुरंत जांच करें।",Agriculture & Livestock,Crop Disease & Pest Management,Government,High,Occasional,No,None
SS00023,"Locust attack reported in adjacent fields, urgent chemical spraying team required.",Agriculture & Livestock,Crop Disease & Pest Management,Government,Critical,One-time,No,None
SS00024,"Dhan ke patte kharab ho rahe hain, krishi vigyan kendra team ko survey ke liye bheje.",Agriculture & Livestock,Crop Disease & Pest Management,Government,Medium,One-time,No,None
SS00025,"Har season crop disease ka late pata chalta hai, AI photo scanning app se disease detect karne ka system hona chahiye.",Agriculture & Livestock,Crop Disease & Pest Management,Innovation,Medium,Recurring,Yes,AI Crop Disease Detection & Early Pest Warning
SS00026,Need mobile computer vision model to identify leaf fungal infections automatically.,Agriculture & Livestock,Crop Disease & Pest Management,Innovation,Medium,Occasional,Yes,AI Crop Disease Detection & Early Pest Warning
SS00027,Pest early warning alert system through camera traps and acoustic sensing required.,Agriculture & Livestock,Crop Disease & Pest Management,Innovation,High,Recurring,Yes,AI Crop Disease Detection & Early Pest Warning
SS00028,aisa mobile app banaye jo photo dekh ke fasal ki bimari bata sake,Agriculture & Livestock,Crop Disease & Pest Management,Innovation,Low,Occasional,Yes,AI Crop Disease Detection & Early Pest Warning
SS00029,फसल बीमारी की प्रारंभिक पहचान हेतु एआई इमेज प्रोसेसिंग मॉडल तैयार करें।,Agriculture & Livestock,Crop Disease & Pest Management,Innovation,Medium,Recurring,Yes,AI Crop Disease Detection & Early Pest Warning
SS00030,Fasal me har baar keeda fail raha hai. Agriculture team abhi inspection kare aur future me pest alert system bhi lagna chahiye.,Agriculture & Livestock,Crop Disease & Pest Management,Hybrid,High,Recurring,Yes,AI Crop Disease Detection & Early Pest Warning
SS00031,Pest attack damaged 5 acres. Provide immediate pesticide relief and deploy AI disease detection app for farmers.,Agriculture & Livestock,Crop Disease & Pest Management,Hybrid,High,Recurring,Yes,AI Crop Disease Detection & Early Pest Warning
SS00032,Har saal fasal me bimari aati h. Abhi medicine spray karaye n future me early warning camera system lagaye.,Agriculture & Livestock,Crop Disease & Pest Management,Hybrid,High,Persistent,Yes,AI Crop Disease Detection & Early Pest Warning
SS00033,urgent pest inspection needed today and AI early warning system for next season plzz,Agriculture & Livestock,Crop Disease & Pest Management,Hybrid,High,Recurring,Yes,AI Crop Disease Detection & Early Pest Warning
SS00034,कीट नियंत्रण के लिए तत्काल दवा छिड़काव हो और भविष्य हेतु एआई चेतावनी प्रणाली विकसित की जाए।,Agriculture & Livestock,Crop Disease & Pest Management,Hybrid,High,Recurring,Yes,AI Crop Disease Detection & Early Pest Warning
SS00035,"The administrative service for seeds, fertilizers & farm inputs is currently non-functional in our block.",Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Government,Medium,Persistent,No,None
SS00036,"Pichle 10 din se seeds, fertilizers & farm inputs ka problem hai, kripya departmental staff ko inspection ke liye bheje.",Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Government,High,Occasional,No,None
SS00037,"हमारे पंचायत में seeds, fertilizers & farm inputs से संबंधित शिकायत पर कई हफ्तों से कोई कार्रवाई नहीं हुई है।",Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Government,Medium,Persistent,No,None
SS00038,"seeds, fertilizers & farm inputs issue in ward 5, officer not taking call",Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Government,Low,Occasional,No,None
SS00039,"seeds, fertilizers & farm inputs is broken n not wrking properly plzz resolve",Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Government,Medium,Occasional,No,None
SS00040,"Block level grievance filed for seeds, fertilizers & farm inputs last month but service is still pending.",Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Government,Low,One-time,No,None
SS00041,"Urgent maintenance team required for seeds, fertilizers & farm inputs near community market place.",Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Government,High,One-time,No,None
SS00042,We need an automated digital technology system for digital input verification & supply chain tracking to monitor this issue continuously.,Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Innovation,Medium,Recurring,Yes,Digital Input Verification & Supply Chain Tracking
SS00043,Is problem ko permanently solve karne ke liye digital input verification & supply chain tracking ka low-cost sensor prototype chahiye.,Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Innovation,Medium,Occasional,Yes,Digital Input Verification & Supply Chain Tracking
SS00044,नवीनतम तकनीक और digital input verification & supply chain tracking के माध्यम से इस समस्या का स्वचालित समाधान किया जाना चाहिए।,Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Innovation,High,Recurring,Yes,Digital Input Verification & Supply Chain Tracking
SS00045,need AI and IoT smart solution for digital input verification & supply chain tracking,Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Innovation,Low,One-time,Yes,Digital Input Verification & Supply Chain Tracking
SS00046,Developing an offline smart system for digital input verification & supply chain tracking will eliminate manual delays.,Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Innovation,Medium,Occasional,Yes,Digital Input Verification & Supply Chain Tracking
SS00047,Abhi तुरंत department emergency team bheje aur future ke liye digital input verification & supply chain tracking ka early warning technology setup karein.,Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Hybrid,High,Recurring,Yes,Digital Input Verification & Supply Chain Tracking
SS00048,Har monsoon/season ye issue hota hai. Immediate repair along with long-term implementation of digital input verification & supply chain tracking.,Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Hybrid,High,Persistent,Yes,Digital Input Verification & Supply Chain Tracking
SS00049,प्रशासन से तुरंत सहायता भेजी जाए तथा भविष्य के लिए digital input verification & supply chain tracking का आधुनिक डिजिटल मॉडल भी विकसित किया जाए।,Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Hybrid,High,Recurring,Yes,Digital Input Verification & Supply Chain Tracking
SS00050,urgent govt inspection today n smart AI tech for digital input verification & supply chain tracking for future plzz,Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Hybrid,High,Recurring,Yes,Digital Input Verification & Supply Chain Tracking
SS00051,"Immediate administrative intervention needed now, accompanied by a university research solution for digital input verification & supply chain tracking.",Agriculture & Livestock,"Seeds, Fertilizers & Farm Inputs",Hybrid,Medium,Occasional,Yes,Digital Input Verification & Supply Chain Tracking
SS00052,The administrative service for soil health & farm productivity is currently non-functional in our block.,Agriculture & Livestock,Soil Health & Farm Productivity,Government,Medium,Persistent,No,None
SS00053,"Pichle 10 din se soil health & farm productivity ka problem hai, kripya departmental staff ko inspection ke liye bheje.",Agriculture & Livestock,Soil Health & Farm Productivity,Government,High,Occasional,No,None
SS00054,हमारे पंचायत में soil health & farm productivity से संबंधित शिकायत पर कई हफ्तों से कोई कार्रवाई नहीं हुई है।,Agriculture & Livestock,Soil Health & Farm Productivity,Government,Medium,Persistent,No,None
SS00055,"soil health & farm productivity issue in ward 5, officer not taking call",Agriculture & Livestock,Soil Health & Farm Productivity,Government,Low,Occasional,No,None
SS00056,soil health & farm productivity is broken n not wrking properly plzz resolve,Agriculture & Livestock,Soil Health & Farm Productivity,Government,Medium,Occasional,No,None
SS00057,Block level grievance filed for soil health & farm productivity last month but service is still pending.,Agriculture & Livestock,Soil Health & Farm Productivity,Government,Low,One-time,No,None
SS00058,Urgent maintenance team required for soil health & farm productivity near community market place.,Agriculture & Livestock,Soil Health & Farm Productivity,Government,High,One-time,No,None
SS00059,We need an automated digital technology system for spectral soil quality analysis & npk sensing to monitor this issue continuously.,Agriculture & Livestock,Soil Health & Farm Productivity,Innovation,Medium,Recurring,Yes,Spectral Soil Quality Analysis & NPK Sensing
SS00060,Is problem ko permanently solve karne ke liye spectral soil quality analysis & npk sensing ka low-cost sensor prototype chahiye.,Agriculture & Livestock,Soil Health & Farm Productivity,Innovation,Medium,Occasional,Yes,Spectral Soil Quality Analysis & NPK Sensing
SS00061,नवीनतम तकनीक और spectral soil quality analysis & npk sensing के माध्यम से इस समस्या का स्वचालित समाधान किया जाना चाहिए।,Agriculture & Livestock,Soil Health & Farm Productivity,Innovation,High,Recurring,Yes,Spectral Soil Quality Analysis & NPK Sensing
SS00062,need AI and IoT smart solution for spectral soil quality analysis & npk sensing,Agriculture & Livestock,Soil Health & Farm Productivity,Innovation,Low,One-time,Yes,Spectral Soil Quality Analysis & NPK Sensing
SS00063,Developing an offline smart system for spectral soil quality analysis & npk sensing will eliminate manual delays.,Agriculture & Livestock,Soil Health & Farm Productivity,Innovation,Medium,Occasional,Yes,Spectral Soil Quality Analysis & NPK Sensing
SS00064,Abhi तुरंत department emergency team bheje aur future ke liye spectral soil quality analysis & npk sensing ka early warning technology setup karein.,Agriculture & Livestock,Soil Health & Farm Productivity,Hybrid,High,Recurring,Yes,Spectral Soil Quality Analysis & NPK Sensing
SS00065,Har monsoon/season ye issue hota hai. Immediate repair along with long-term implementation of spectral soil quality analysis & npk sensing.,Agriculture & Livestock,Soil Health & Farm Productivity,Hybrid,High,Persistent,Yes,Spectral Soil Quality Analysis & NPK Sensing
SS00066,प्रशासन से तुरंत सहायता भेजी जाए तथा भविष्य के लिए spectral soil quality analysis & npk sensing का आधुनिक डिजिटल मॉडल भी विकसित किया जाए।,Agriculture & Livestock,Soil Health & Farm Productivity,Hybrid,High,Recurring,Yes,Spectral Soil Quality Analysis & NPK Sensing
SS00067,urgent govt inspection today n smart AI tech for spectral soil quality analysis & npk sensing for future plzz,Agriculture & Livestock,Soil Health & Farm Productivity,Hybrid,High,Recurring,Yes,Spectral Soil Quality Analysis & NPK Sensing
SS00068,"Immediate administrative intervention needed now, accompanied by a university research solution for spectral soil quality analysis & npk sensing.",Agriculture & Livestock,Soil Health & Farm Productivity,Hybrid,Medium,Occasional,Yes,Spectral Soil Quality Analysis & NPK Sensing
SS00069,The administrative service for livestock & veterinary services is currently non-functional in our block.,Agriculture & Livestock,Livestock & Veterinary Services,Government,Medium,Persistent,No,None
SS00070,"Pichle 10 din se livestock & veterinary services ka problem hai, kripya departmental staff ko inspection ke liye bheje.",Agriculture & Livestock,Livestock & Veterinary Services,Government,High,Occasional,No,None
SS00071,हमारे पंचायत में livestock & veterinary services से संबंधित शिकायत पर कई हफ्तों से कोई कार्रवाई नहीं हुई है।,Agriculture & Livestock,Livestock & Veterinary Services,Government,Medium,Persistent,No,None
SS00072,"livestock & veterinary services issue in ward 5, officer not taking call",Agriculture & Livestock,Livestock & Veterinary Services,Government,Low,Occasional,No,None
SS00073,livestock & veterinary services is broken n not wrking properly plzz resolve,Agriculture & Livestock,Livestock & Veterinary Services,Government,Medium,Occasional,No,None
SS00074,Block level grievance filed for livestock & veterinary services last month but service is still pending.,Agriculture & Livestock,Livestock & Veterinary Services,Government,Low,One-time,No,None
SS00075,Urgent maintenance team required for livestock & veterinary services near community market place.,Agriculture & Livestock,Livestock & Veterinary Services,Government,High,One-time,No,None
SS00076,We need an automated digital technology system for iot cattle health & disease surveillance to monitor this issue continuously.,Agriculture & Livestock,Livestock & Veterinary Services,Innovation,Medium,Recurring,Yes,IoT Cattle Health & Disease Surveillance
SS00077,Is problem ko permanently solve karne ke liye iot cattle health & disease surveillance ka low-cost sensor prototype chahiye.,Agriculture & Livestock,Livestock & Veterinary Services,Innovation,Medium,Occasional,Yes,IoT Cattle Health & Disease Surveillance
SS00078,नवीनतम तकनीक और iot cattle health & disease surveillance के माध्यम से इस समस्या का स्वचालित समाधान किया जाना चाहिए।,Agriculture & Livestock,Livestock & Veterinary Services,Innovation,High,Recurring,Yes,IoT Cattle Health & Disease Surveillance
SS00079,need AI and IoT smart solution for iot cattle health & disease surveillance,Agriculture & Livestock,Livestock & Veterinary Services,Innovation,Low,One-time,Yes,IoT Cattle Health & Disease Surveillance
SS00080,Developing an offline smart system for iot cattle health & disease surveillance will eliminate manual delays.,Agriculture & Livestock,Livestock & Veterinary Services,Innovation,Medium,Occasional,Yes,IoT Cattle Health & Disease Surveillance
SS00081,Abhi तुरंत department emergency team bheje aur future ke liye iot cattle health & disease surveillance ka early warning technology setup karein.,Agriculture & Livestock,Livestock & Veterinary Services,Hybrid,High,Recurring,Yes,IoT Cattle Health & Disease Surveillance
SS00082,Har monsoon/season ye issue hota hai. Immediate repair along with long-term implementation of iot cattle health & disease surveillance.,Agriculture & Livestock,Livestock & Veterinary Services,Hybrid,High,Persistent,Yes,IoT Cattle Health & Disease Surveillance
SS00083,प्रशासन से तुरंत सहायता भेजी जाए तथा भविष्य के लिए iot cattle health & disease surveillance का आधुनिक डिजिटल मॉडल भी विकसित किया जाए।,Agriculture & Livestock,Livestock & Veterinary Services,Hybrid,High,Recurring,Yes,IoT Cattle Health & Disease Surveillance
SS00084,urgent govt inspection today n smart AI tech for iot cattle health & disease surveillance for future plzz,Agriculture & Livestock,Livestock & Veterinary Services,Hybrid,High,Recurring,Yes,IoT Cattle Health & Disease Surveillance
SS00085,"Immediate administrative intervention needed now, accompanied by a university research solution for iot cattle health & disease surveillance.",Agriculture & Livestock,Livestock & Veterinary Services,Hybrid,Medium,Occasional,Yes,IoT Cattle Health & Disease Surveillance
SS00086,The administrative service for agricultural market & procurement is currently non-functional in our block.,Agriculture & Livestock,Agricultural Market & Procurement,Government,Medium,Persistent,No,None
SS00087,"Pichle 10 din se agricultural market & procurement ka problem hai, kripya departmental staff ko inspection ke liye bheje.",Agriculture & Livestock,Agricultural Market & Procurement,Government,High,Occasional,No,None
SS00088,हमारे पंचायत में agricultural market & procurement से संबंधित शिकायत पर कई हफ्तों से कोई कार्रवाई नहीं हुई है।,Agriculture & Livestock,Agricultural Market & Procurement,Government,Medium,Persistent,No,None
SS00089,"agricultural market & procurement issue in ward 5, officer not taking call",Agriculture & Livestock,Agricultural Market & Procurement,Government,Low,Occasional,No,None
SS00090,agricultural market & procurement is broken n not wrking properly plzz resolve,Agriculture & Livestock,Agricultural Market & Procurement,Government,Medium,Occasional,No,None
SS00091,Block level grievance filed for agricultural market & procurement last month but service is still pending.,Agriculture & Livestock,Agricultural Market & Procurement,Government,Low,One-time,No,None
SS00092,Urgent maintenance team required for agricultural market & procurement near community market place.,Agriculture & Livestock,Agricultural Market & Procurement,Government,High,One-time,No,None
SS00093,We need an automated digital technology system for ai agricultural market price forecasting to monitor this issue continuously.,Agriculture & Livestock,Agricultural Market & Procurement,Innovation,Medium,Recurring,Yes,AI Agricultural Market Price Forecasting
SS00094,Is problem ko permanently solve karne ke liye ai agricultural market price forecasting ka low-cost sensor prototype chahiye.,Agriculture & Livestock,Agricultural Market & Procurement,Innovation,Medium,Occasional,Yes,AI Agricultural Market Price Forecasting
SS00095,नवीनतम तकनीक और ai agricultural market price forecasting के माध्यम से इस समस्या का स्वचालित समाधान किया जाना चाहिए।,Agriculture & Livestock,Agricultural Market & Procurement,Innovation,High,Recurring,Yes,AI Agricultural Market Price Forecasting
SS00096,need AI and IoT smart solution for ai agricultural market price forecasting,Agriculture & Livestock,Agricultural Market & Procurement,Innovation,Low,One-time,Yes,AI Agricultural Market Price Forecasting
SS00097,Developing an offline smart system for ai agricultural market price forecasting will eliminate manual delays.,Agriculture & Livestock,Agricultural Market & Procurement,Innovation,Medium,Occasional,Yes,AI Agricultural Market Price Forecasting
SS00098,Abhi तुरंत department emergency team bheje aur future ke liye ai agricultural market price forecasting ka early warning technology setup karein.,Agriculture & Livestock,Agricultural Market & Procurement,Hybrid,High,Recurring,Yes,AI Agricultural Market Price Forecasting
SS00099,Har monsoon/season ye issue hota hai. Immediate repair along with long-term implementation of ai agricultural market price forecasting.,Agriculture & Livestock,Agricultural Market & Procurement,Hybrid,High,Persistent,Yes,AI Agricultural Market Price Forecasting
SS00100,प्रशासन से तुरंत सहायता भेजी जाए तथा भविष्य के लिए ai agricultural market price forecasting का आधुनिक डिजिटल मॉडल भी विकसित किया जाए।,Agriculture & Livestock,Agricultural Market & Procurement,Hybrid,High,Recurring,Yes,AI Agricultural Market Price Forecasting
SS00101,urgent govt inspection today n smart AI tech for ai agricultural market price forecasting for future plzz,Agriculture & Livestock,Agricultural Market & Procurement,Hybrid,High,Recurring,Yes,AI Agricultural Market Price Forecasting
SS00102,"Immediate administrative intervention needed now, accompanied by a university research solution for ai agricultural market price forecasting.",Agriculture & Livestock,Agricultural Market & Procurement,Hybrid,Medium,Occasional,Yes,AI Agricultural Market Price Forecasting
SS00103,The administrative service for farm technology & mechanization is currently non-functional in our block.,Agriculture & Livestock,Farm Technology & Mechanization,Government,Medium,Persistent,No,None
SS00104,"Pichle 10 din se farm technology & mechanization ka problem hai, kripya departmental staff ko inspection ke liye bheje.",Agriculture & Livestock,Farm Technology & Mechanization,Government,High,Occasional,No,None
SS00105,हमारे पंचायत में farm technology & mechanization से संबंधित शिकायत पर कई हफ्तों से कोई कार्रवाई नहीं हुई है।,Agriculture & Livestock,Farm Technology & Mechanization,Government,Medium,Persistent,No,None
SS00106,"farm technology & mechanization issue in ward 5, officer not taking call",Agriculture & Livestock,Farm Technology & Mechanization,Government,Low,Occasional,No,None
SS00107,farm technology & mechanization is broken n not wrking properly plzz resolve,Agriculture & Livestock,Farm Technology & Mechanization,Government,Medium,Occasional,No,None
SS00108,Block level grievance filed for farm technology & mechanization last month but service is still pending.,Agriculture & Livestock,Farm Technology & Mechanization,Government,Low,One-time,No,None
SS00109,Urgent maintenance team required for farm technology & mechanization near community market place.,Agriculture & Livestock,Farm Technology & Mechanization,Government,High,One-time,No,None
SS00110,We need an automated digital technology system for low-cost solar farm mechanization to monitor this issue continuously.,Agriculture & Livestock,Farm Technology & Mechanization,Innovation,Medium,Recurring,Yes,Low-Cost Solar Farm Mechanization
SS00111,Is problem ko permanently solve karne ke liye low-cost solar farm mechanization ka low-cost sensor prototype chahiye.,Agriculture & Livestock,Farm Technology & Mechanization,Innovation,Medium,Occasional,Yes,Low-Cost Solar Farm Mechanization
SS00112,नवीनतम तकनीक और low-cost solar farm mechanization के माध्यम से इस समस्या का स्वचालित समाधान किया जाना चाहिए।,Agriculture & Livestock,Farm Technology & Mechanization,Innovation,High,Recurring,Yes,Low-Cost Solar Farm Mechanization
SS00113,need AI and IoT smart solution for low-cost solar farm mechanization,Agriculture & Livestock,Farm Technology & Mechanization,Innovation,Low,One-time,Yes,Low-Cost Solar Farm Mechanization
SS00114,Developing an offline smart system for low-cost solar farm mechanization will eliminate manual delays.,Agriculture & Livestock,Farm Technology & Mechanization,Innovation,Medium,Occasional,Yes,Low-Cost Solar Farm Mechanization
SS00115,Abhi तुरंत department emergency team bheje aur future ke liye low-cost solar farm mechanization ka early warning technology setup karein.,Agriculture & Livestock,Farm Technology & Mechanization,Hybrid,High,Recurring,Yes,Low-Cost Solar Farm Mechanization
SS00116,Har monsoon/season ye issue hota hai. Immediate repair along with long-term implementation of low-cost solar farm mechanization.,Agriculture & Livestock,Farm Technology & Mechanization,Hybrid,High,Persistent,Yes,Low-Cost Solar Farm Mechanization
SS00117,प्रशासन से तुरंत सहायता भेजी जाए तथा भविष्य के लिए low-cost solar farm mechanization का आधुनिक डिजिटल मॉडल भी विकसित किया जाए।,Agriculture & Livestock,Farm Technology & Mechanization,Hybrid,High,Recurring,Yes,Low-Cost Solar Farm Mechanization
SS00118,urgent govt inspection today n smart AI tech for low-cost solar farm mechanization for future plzz,Agriculture & Livestock,Farm Technology & Mechanization,Hybrid,High,Recurring,Yes,Low-Cost Solar Farm Mechanization
SS00119,"Immediate administrative intervention needed now, accompanied by a university research solution for low-cost solar farm mechanization.",Agriculture & Livestock,Farm Technology & Mechanization,Hybrid,Medium,Occasional,Yes,Low-Cost Solar Farm Mechanization
SS00120,Gaon me pichle 5 din se drinking water supply completely stop hai.,Water & Drinking Water,Drinking Water Supply,Government,High,Occasional,No,None
SS00121,"Piped water supply coming only for 10 minutes in the morning, insufficient for ward 4.",Water & Drinking Water,Drinking Water Supply,Government,Medium,Persistent,No,None
SS00122,Water tanker not arriving in Mahalla despite extreme summer heat.,Water & Drinking Water,Drinking Water Supply,Government,High,One-time,No,None
SS00123,"pani nhi aa rha 3 din se, tanker bhejo plzz",Water & Drinking Water,Drinking Water Supply,Government,High,One-time,No,None
SS00124,"गांव में पेयजल आपूर्ति पिछले एक सप्ताह से बाधित है, नल जल योजना ठप है।",Water & Drinking Water,Drinking Water Supply,Government,High,Persistent,No,None
SS00125,"Overhead water tank pump motor burnt, immediate electrician repair needed.",Water & Drinking Water,Drinking Water Supply,Government,Medium,One-time,No,None
SS00126,Haripar village has no pipeline connectivity under Jal Jeevan Mission.,Water & Drinking Water,Drinking Water Supply,Government,High,Persistent,No,None
SS00127,Solar powered automated water purification filtration unit needed for off-grid hamlet.,Water & Drinking Water,Drinking Water Supply,Innovation,Medium,Occasional,Yes,Solar-Powered Automated Water Filtration
SS00128,Smart automatic water dispensing kiosk required to ensure equitable village distribution.,Water & Drinking Water,Drinking Water Supply,Innovation,Low,Occasional,Yes,Solar-Powered Automated Water Filtration
SS00129,Automated water tank level monitoring and remote valve control system.,Water & Drinking Water,Drinking Water Supply,Innovation,Medium,Occasional,Yes,Solar-Powered Automated Water Filtration
SS00130,solar water purification plant for remote village with low maintenance,Water & Drinking Water,Drinking Water Supply,Innovation,Medium,One-time,Yes,Solar-Powered Automated Water Filtration
SS00131,सौर ऊर्जा संचालित स्वचालित जल शोधन इकाई ग्रामीण क्षेत्रों के लिए विकसित की जाए।,Water & Drinking Water,Drinking Water Supply,Innovation,Medium,Occasional,Yes,Solar-Powered Automated Water Filtration
SS00132,Abhi emergency water tanker bheje aur permanent solution ke liye solar purification water unit install karein.,Water & Drinking Water,Drinking Water Supply,Hybrid,High,Recurring,Yes,Solar-Powered Automated Water Filtration
SS00133,Water supply motor broken: replace pump immediately and deploy smart tank level automated monitoring.,Water & Drinking Water,Drinking Water Supply,Hybrid,High,Occasional,Yes,Solar-Powered Automated Water Filtration
SS00134,Pani ki acute shortage h. Tanker abhi chahiye aur long term solar filtration project lagaye.,Water & Drinking Water,Drinking Water Supply,Hybrid,High,Persistent,Yes,Solar-Powered Automated Water Filtration
SS00135,water tanker needed today n solar automated filtration unit for permanent solution,Water & Drinking Water,Drinking Water Supply,Hybrid,High,Recurring,Yes,Solar-Powered Automated Water Filtration
SS00136,तत्काल पानी का टैंकर भेजा जाए तथा स्वच्छ पेयजल के लिए सौर जल शोधन संयंत्र लगाया जाए।,Water & Drinking Water,Drinking Water Supply,Hybrid,High,Persistent,Yes,Solar-Powered Automated Water Filtration
SS00137,"School ke paas wala handpump 10 din se kharab h, washer change hona hai.",Water & Drinking Water,Handpump & Borewell,Government,Medium,Persistent,No,None
SS00138,"Handpump cylinder jammed in Ward 3, water not lifting up.",Water & Drinking Water,Handpump & Borewell,Government,Medium,Occasional,No,None
SS00139,"Deep borewell motor burnt near community center, urgent replacement needed.",Water & Drinking Water,Handpump & Borewell,Government,High,One-time,No,None
SS00140,handpum kharab h paani nhi nikal rha,Water & Drinking Water,Handpump & Borewell,Government,Low,Occasional,No,None
SS00141,पंचायत भवन के पास स्थित हैंडपंप पिछले एक महीने से खराब है।,Water & Drinking Water,Handpump & Borewell,Government,Medium,Persistent,No,None
SS00142,"Public handpump handle broken by heavy usage, new iron handle required.",Water & Drinking Water,Handpump & Borewell,Government,Low,One-time,No,None
SS00143,Public handpump discharge is muddy and rusty after prolonged non-use.,Water & Drinking Water,Handpump & Borewell,Government,Low,One-time,No,None
