complaint_id,complaint_text,domain,category,route,severity,recurrence,innovation_required,innovation_area,affected_population,government_level,department,problem_type,solution_type
SS00020,Gaon me village water scarcity & dry wells work left incomplete by local contractor.,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,Medium,Occasional,No,None,8500,District Level (DC Office),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00021,"ग्राम पंचायत में village water scarcity & dry wells की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,Medium,Persistent,No,None,150,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00022,We need an automated digital technology system for village water scarcity & dry wells (smart civic infrastructure & sensor analytics) to monitor continuously.,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Panchayat Level,Water Resources Department,Service Delivery,University R&D
SS00023,Is village water scarcity & dry wells problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Panchayat Level,Water Resources Department,Service Delivery,University R&D
SS00024,नवीनतम तकनीक और एआई मॉडल के माध्यम से village water scarcity & dry wells का स्वचालित समाधान किया जाना चाहिए।,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,District Level (DC Office),Water Resources Department,Service Delivery,University R&D
SS00025,need AI and IoT smart technology solution for village water scarcity & dry wells,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,District Level (DC Office),Water Resources Department,Service Delivery,University R&D
SS00026,Developing an offline smart system for village water scarcity & dry wells will eliminate manual delays.,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Water Resources Department,Service Delivery,University R&D
SS00027,University student startup project required for village water scarcity & dry wells technological innovation.,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Panchayat Level,Water Resources Department,Service Delivery,University R&D
SS00028,Abhi तुरंत department emergency team bheje for village water scarcity & dry wells aur future ke liye early warning technology setup karein.,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,District Level (DC Office),Water Resources Department,Service Delivery,Govt Action + University R&D
SS00029,Har monsoon/season village water scarcity & dry wells me ye issue hota hai. Immediate repair along with long-term technological innovation.,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Water Resources Department,Service Delivery,Govt Action + University R&D
SS00030,प्रशासन से तुरंत village water scarcity & dry wells के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,State Department,Water Resources Department,Service Delivery,Govt Action + University R&D
SS00031,urgent govt inspection today for village water scarcity & dry wells n smart AI tech for future plzz,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,State Department,Water Resources Department,Service Delivery,Govt Action + University R&D
SS00032,"Summer Groundwater Depletion in our village area is completely non-functional, urgent government action required.",Water Resources & Drinking Water,Summer Groundwater Depletion,Government,High,Persistent,No,None,1200,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00033,"Pichle 15 din se summer groundwater depletion ka dikkat ho raha hai, authority field team ko bheje.",Water Resources & Drinking Water,Summer Groundwater Depletion,Government,High,Occasional,No,None,1200,District Level (DC Office),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00034,हमारे पंचायत में summer groundwater depletion से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Water Resources & Drinking Water,Summer Groundwater Depletion,Government,Medium,Persistent,No,None,450,District Level (DC Office),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00035,summer groundwater depletion issue in ward 3 officer not picking up calls,Water Resources & Drinking Water,Summer Groundwater Depletion,Government,Low,Occasional,No,None,150,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00036,gaov me summer groundwater depletion kharab h 2 mahine se koi sunne wala nahi h,Water Resources & Drinking Water,Summer Groundwater Depletion,Government,Medium,Occasional,No,None,8500,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00037,Block level grievance filed for summer groundwater depletion last month but service is pending.,Water Resources & Drinking Water,Summer Groundwater Depletion,Government,Low,One-time,No,None,450,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00038,Urgent maintenance team required for summer groundwater depletion near village center.,Water Resources & Drinking Water,Summer Groundwater Depletion,Government,High,One-time,No,None,3500,District Level (DC Office),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00039,Public facility for summer groundwater depletion has been completely unmaintained for 3 months.,Water Resources & Drinking Water,Summer Groundwater Depletion,Government,Low,Persistent,No,None,8500,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00040,Gaon me summer groundwater depletion work left incomplete by local contractor.,Water Resources & Drinking Water,Summer Groundwater Depletion,Government,Medium,Occasional,No,None,1200,Panchayat Level,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00041,"ग्राम पंचायत में summer groundwater depletion की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Water Resources & Drinking Water,Summer Groundwater Depletion,Government,Medium,Persistent,No,None,450,Panchayat Level,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00042,We need an automated digital technology system for summer groundwater depletion (smart civic infrastructure & sensor analytics) to monitor continuously.,Water Resources & Drinking Water,Summer Groundwater Depletion,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,State Department,Water Resources Department,Service Delivery,University R&D
SS00043,Is summer groundwater depletion problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Water Resources & Drinking Water,Summer Groundwater Depletion,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Panchayat Level,Water Resources Department,Service Delivery,University R&D
SS00044,नवीनतम तकनीक और एआई मॉडल के माध्यम से summer groundwater depletion का स्वचालित समाधान किया जाना चाहिए।,Water Resources & Drinking Water,Summer Groundwater Depletion,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,District Level (DC Office),Water Resources Department,Service Delivery,University R&D
SS00045,need AI and IoT smart technology solution for summer groundwater depletion,Water Resources & Drinking Water,Summer Groundwater Depletion,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,450,State Department,Water Resources Department,Service Delivery,University R&D
SS00046,Developing an offline smart system for summer groundwater depletion will eliminate manual delays.,Water Resources & Drinking Water,Summer Groundwater Depletion,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,State Department,Water Resources Department,Service Delivery,University R&D
SS00047,University student startup project required for summer groundwater depletion technological innovation.,Water Resources & Drinking Water,Summer Groundwater Depletion,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,District Level (DC Office),Water Resources Department,Service Delivery,University R&D
SS00048,Abhi तुरंत department emergency team bheje for summer groundwater depletion aur future ke liye early warning technology setup karein.,Water Resources & Drinking Water,Summer Groundwater Depletion,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Block Level (BDO),Water Resources Department,Service Delivery,Govt Action + University R&D
SS00049,Har monsoon/season summer groundwater depletion me ye issue hota hai. Immediate repair along with long-term technological innovation.,Water Resources & Drinking Water,Summer Groundwater Depletion,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,District Level (DC Office),Water Resources Department,Service Delivery,Govt Action + University R&D
SS00050,प्रशासन से तुरंत summer groundwater depletion के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Water Resources & Drinking Water,Summer Groundwater Depletion,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,State Department,Water Resources Department,Service Delivery,Govt Action + University R&D
SS00051,urgent govt inspection today for summer groundwater depletion n smart AI tech for future plzz,Water Resources & Drinking Water,Summer Groundwater Depletion,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,State Department,Water Resources Department,Service Delivery,Govt Action + University R&D
SS00052,handpum kharab h paani nhi nikal rha,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,High,Persistent,No,None,1200,Block Level (BDO),Water Resources Department,Infrastructure,Repair / Staff Posting
SS00053,handpump ka handle toot gaya hai paani nahi nikal raha,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,High,Occasional,No,None,450,State Department,Water Resources Department,Infrastructure,Repair / Staff Posting
SS00054,handpump handle broken washer worn out in ward 3,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,High,Occasional,No,None,150,Panchayat Level,Water Resources Department,Infrastructure,Repair / Staff Posting
SS00055,हैंडपंप खराब है 15 दिनों से पानी नहीं आ रहा,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,High,Persistent,No,None,150,Block Level (BDO),Water Resources Department,Infrastructure,Repair / Staff Posting
SS00056,handpump me paani nahi aa raha h broken cylinder,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,High,Persistent,No,None,450,State Department,Water Resources Department,Infrastructure,Repair / Staff Posting
SS00057,"Broken Handpump & Mechanical Failure in our village area is completely non-functional, urgent government action required.",Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,High,Persistent,No,None,8500,Panchayat Level,Water Resources Department,Infrastructure,Repair / Staff Posting
SS00058,"Pichle 15 din se broken handpump & mechanical failure ka dikkat ho raha hai, authority field team ko bheje.",Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,High,Occasional,No,None,3500,State Department,Water Resources Department,Infrastructure,Repair / Staff Posting
SS00059,हमारे पंचायत में broken handpump & mechanical failure से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,Medium,Persistent,No,None,8500,State Department,Water Resources Department,Infrastructure,Repair / Staff Posting
SS00060,broken handpump & mechanical failure issue in ward 3 officer not picking up calls,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,Low,Occasional,No,None,8500,District Level (DC Office),Water Resources Department,Infrastructure,Repair / Staff Posting
SS00061,gaov me broken handpump & mechanical failure kharab h 2 mahine se koi sunne wala nahi h,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,Medium,Occasional,No,None,8500,Panchayat Level,Water Resources Department,Infrastructure,Repair / Staff Posting
SS00062,Block level grievance filed for broken handpump & mechanical failure last month but service is pending.,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,Low,One-time,No,None,150,District Level (DC Office),Water Resources Department,Infrastructure,Repair / Staff Posting
SS00063,Urgent maintenance team required for broken handpump & mechanical failure near village center.,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,High,One-time,No,None,1200,Panchayat Level,Water Resources Department,Infrastructure,Repair / Staff Posting
SS00064,Public facility for broken handpump & mechanical failure has been completely unmaintained for 3 months.,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,Low,Persistent,No,None,1200,State Department,Water Resources Department,Infrastructure,Repair / Staff Posting
SS00065,Gaon me broken handpump & mechanical failure work left incomplete by local contractor.,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,Medium,Occasional,No,None,450,State Department,Water Resources Department,Infrastructure,Repair / Staff Posting
SS00066,"ग्राम पंचायत में broken handpump & mechanical failure की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Government,Medium,Persistent,No,None,150,District Level (DC Office),Water Resources Department,Infrastructure,Repair / Staff Posting
SS00067,We need an automated digital technology system for broken handpump & mechanical failure (smart civic infrastructure & sensor analytics) to monitor continuously.,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Water Resources Department,Infrastructure,University R&D
SS00068,Is broken handpump & mechanical failure problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Panchayat Level,Water Resources Department,Infrastructure,University R&D
SS00069,नवीनतम तकनीक और एआई मॉडल के माध्यम से broken handpump & mechanical failure का स्वचालित समाधान किया जाना चाहिए।,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Block Level (BDO),Water Resources Department,Infrastructure,University R&D
SS00070,need AI and IoT smart technology solution for broken handpump & mechanical failure,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,450,District Level (DC Office),Water Resources Department,Infrastructure,University R&D
SS00071,Developing an offline smart system for broken handpump & mechanical failure will eliminate manual delays.,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Water Resources Department,Infrastructure,University R&D
SS00072,University student startup project required for broken handpump & mechanical failure technological innovation.,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,District Level (DC Office),Water Resources Department,Infrastructure,University R&D
SS00073,Abhi तुरंत department emergency team bheje for broken handpump & mechanical failure aur future ke liye early warning technology setup karein.,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Panchayat Level,Water Resources Department,Infrastructure,Govt Action + University R&D
SS00074,Har monsoon/season broken handpump & mechanical failure me ye issue hota hai. Immediate repair along with long-term technological innovation.,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,150,District Level (DC Office),Water Resources Department,Infrastructure,Govt Action + University R&D
SS00075,प्रशासन से तुरंत broken handpump & mechanical failure के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Block Level (BDO),Water Resources Department,Infrastructure,Govt Action + University R&D
SS00076,urgent govt inspection today for broken handpump & mechanical failure n smart AI tech for future plzz,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Water Resources Department,Infrastructure,Govt Action + University R&D
SS00077,"Handpump Water Flow Failure in our village area is completely non-functional, urgent government action required.",Water Resources & Drinking Water,Handpump Water Flow Failure,Government,High,Persistent,No,None,8500,Panchayat Level,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00078,"Pichle 15 din se handpump water flow failure ka dikkat ho raha hai, authority field team ko bheje.",Water Resources & Drinking Water,Handpump Water Flow Failure,Government,High,Occasional,No,None,150,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00079,हमारे पंचायत में handpump water flow failure से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Water Resources & Drinking Water,Handpump Water Flow Failure,Government,Medium,Persistent,No,None,150,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00080,handpump water flow failure issue in ward 3 officer not picking up calls,Water Resources & Drinking Water,Handpump Water Flow Failure,Government,Low,Occasional,No,None,450,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00081,gaov me handpump water flow failure kharab h 2 mahine se koi sunne wala nahi h,Water Resources & Drinking Water,Handpump Water Flow Failure,Government,Medium,Occasional,No,None,8500,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00082,Block level grievance filed for handpump water flow failure last month but service is pending.,Water Resources & Drinking Water,Handpump Water Flow Failure,Government,Low,One-time,No,None,1200,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00083,Urgent maintenance team required for handpump water flow failure near village center.,Water Resources & Drinking Water,Handpump Water Flow Failure,Government,High,One-time,No,None,450,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00084,Public facility for handpump water flow failure has been completely unmaintained for 3 months.,Water Resources & Drinking Water,Handpump Water Flow Failure,Government,Low,Persistent,No,None,1200,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00085,Gaon me handpump water flow failure work left incomplete by local contractor.,Water Resources & Drinking Water,Handpump Water Flow Failure,Government,Medium,Occasional,No,None,1200,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00086,"ग्राम पंचायत में handpump water flow failure की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Water Resources & Drinking Water,Handpump Water Flow Failure,Government,Medium,Persistent,No,None,8500,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00087,We need an automated digital technology system for handpump water flow failure (smart civic infrastructure & sensor analytics) to monitor continuously.,Water Resources & Drinking Water,Handpump Water Flow Failure,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Water Resources Department,Service Delivery,University R&D
SS00088,Is handpump water flow failure problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Water Resources & Drinking Water,Handpump Water Flow Failure,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Water Resources Department,Service Delivery,University R&D
SS00089,नवीनतम तकनीक और एआई मॉडल के माध्यम से handpump water flow failure का स्वचालित समाधान किया जाना चाहिए।,Water Resources & Drinking Water,Handpump Water Flow Failure,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Panchayat Level,Water Resources Department,Service Delivery,University R&D
SS00090,need AI and IoT smart technology solution for handpump water flow failure,Water Resources & Drinking Water,Handpump Water Flow Failure,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Water Resources Department,Service Delivery,University R&D
SS00091,Developing an offline smart system for handpump water flow failure will eliminate manual delays.,Water Resources & Drinking Water,Handpump Water Flow Failure,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Water Resources Department,Service Delivery,University R&D
SS00092,University student startup project required for handpump water flow failure technological innovation.,Water Resources & Drinking Water,Handpump Water Flow Failure,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Panchayat Level,Water Resources Department,Service Delivery,University R&D
SS00093,Abhi तुरंत department emergency team bheje for handpump water flow failure aur future ke liye early warning technology setup karein.,Water Resources & Drinking Water,Handpump Water Flow Failure,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Water Resources Department,Service Delivery,Govt Action + University R&D
SS00094,Har monsoon/season handpump water flow failure me ye issue hota hai. Immediate repair along with long-term technological innovation.,Water Resources & Drinking Water,Handpump Water Flow Failure,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Panchayat Level,Water Resources Department,Service Delivery,Govt Action + University R&D
SS00095,प्रशासन से तुरंत handpump water flow failure के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Water Resources & Drinking Water,Handpump Water Flow Failure,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Panchayat Level,Water Resources Department,Service Delivery,Govt Action + University R&D
SS00096,urgent govt inspection today for handpump water flow failure n smart AI tech for future plzz,Water Resources & Drinking Water,Handpump Water Flow Failure,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Water Resources Department,Service Delivery,Govt Action + University R&D
SS00097,"Dried Borewell & Aquifer Failure in our village area is completely non-functional, urgent government action required.",Water Resources & Drinking Water,Dried Borewell & Aquifer Failure,Government,High,Persistent,No,None,1200,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00098,"Pichle 15 din se dried borewell & aquifer failure ka dikkat ho raha hai, authority field team ko bheje.",Water Resources & Drinking Water,Dried Borewell & Aquifer Failure,Government,High,Occasional,No,None,450,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00099,हमारे पंचायत में dried borewell & aquifer failure से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Water Resources & Drinking Water,Dried Borewell & Aquifer Failure,Government,Medium,Persistent,No,None,8500,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00100,dried borewell & aquifer failure issue in ward 3 officer not picking up calls,Water Resources & Drinking Water,Dried Borewell & Aquifer Failure,Government,Low,Occasional,No,None,450,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00101,gaov me dried borewell & aquifer failure kharab h 2 mahine se koi sunne wala nahi h,Water Resources & Drinking Water,Dried Borewell & Aquifer Failure,Government,Medium,Occasional,No,None,3500,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00102,Block level grievance filed for dried borewell & aquifer failure last month but service is pending.,Water Resources & Drinking Water,Dried Borewell & Aquifer Failure,Government,Low,One-time,No,None,150,Panchayat Level,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00103,Urgent maintenance team required for dried borewell & aquifer failure near village center.,Water Resources & Drinking Water,Dried Borewell & Aquifer Failure,Government,High,One-time,No,None,3500,District Level (DC Office),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00104,Public facility for dried borewell & aquifer failure has been completely unmaintained for 3 months.,Water Resources & Drinking Water,Dried Borewell & Aquifer Failure,Government,Low,Persistent,No,None,3500,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00105,Gaon me dried borewell & aquifer failure work left incomplete by local contractor.,Water Resources & Drinking Water,Dried Borewell & Aquifer Failure,Government,Medium,Occasional,No,None,3500,Panchayat Level,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00106,"ग्राम पंचायत में dried borewell & aquifer failure की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Water Resources & Drinking Water,Dried Borewell & Aquifer Failure,Government,Medium,Persistent,No,None,150,Panchayat Level,Water Resources Department,Service Delivery,Repair / Staff Posting
